Latitud,Longitud,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz
6.267552,-75.567749,-0.0677,-0.0015,-0.9969,0.1831,-1.1444,-0.0305,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0699,-0.0083,-1.0003,0.2823,-1.1597,0.0916,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0699,-0.0017,-1.0032,-0.3052,-0.8316,0.1221,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0696,-0.0039,-0.9864,-0.0610,-0.8316,0.2441,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0657,0.0176,-0.9783,-4.7913,-5.4321,2.8229,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0755,-0.0474,-0.9732,-1.5182,-0.8545,-14.6027,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0682,0.0081,-0.9979,0.0000,-0.9308,0.2060,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0779,-0.0017,-1.0069,-0.5188,-0.8545,0.0229,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0670,-0.0115,-1.0147,-0.0610,-1.2054,0.1297,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0679,-0.0037,-0.9993,-0.0458,-0.7706,0.2136,-0.1465,-0.5859,0.0000
6.267552,-75.567749,-0.0687,-0.0051,-1.0035,0.3433,-1.0529,0.0610,-0.1465,-0.5859,0.0000
6.267366,-75.567993,-0.1724,-0.0095,-0.9129,8.6517,16.3116,1.8082,-0.1465,-0.5859,0.0000
6.267350,-75.567986,-0.0994,-0.1375,-1.0721,24.9557,-5.0354,-16.5634,-0.1465,-0.5859,0.0000
6.267351,-75.567986,-0.0721,0.0730,-1.0467,-7.2327,-0.5264,-24.9939,-0.1465,-0.5859,0.0000
6.267374,-75.567970,-0.1402,0.0415,-0.9288,20.5688,14.0228,36.5524,-0.1465,-0.5859,0.0000
6.267403,-75.567947,-0.0411,0.0571,-0.7916,-0.0916,10.7193,-21.5530,-0.1465,-0.5859,0.0000
6.267445,-75.567917,-0.0867,0.0425,-1.0318,0.4807,21.7819,-23.1552,-0.1465,-0.5859,0.0000
6.267478,-75.567894,-0.1307,0.0266,-1.0875,-21.8964,-12.0468,23.8953,-0.1465,-0.5859,0.0000
6.267505,-75.567871,-0.0999,-0.0496,-1.0530,2.7084,-3.8757,-1.0452,-0.1465,-0.5859,0.0000
6.267503,-75.567871,-0.1024,-0.1465,-0.9600,12.3062,4.3411,29.2511,-0.1465,-0.5859,0.0000
6.267497,-75.567871,-0.1404,-0.0762,-1.0967,-0.0992,17.2501,56.5872,-0.1465,-0.5859,0.0000
6.267462,-75.567886,-0.0892,-0.1660,-1.0826,3.7689,2.3041,-37.7655,-0.1465,-0.5859,0.0000
6.267424,-75.567894,0.1725,0.0593,-1.0735,7.6675,16.4261,1.8921,-0.1465,-0.5859,0.0000
6.267382,-75.567917,-0.0462,0.1831,-1.0167,-2.1591,-12.8021,15.8615,-0.1465,-0.5859,0.0000
6.267345,-75.567947,-0.0013,0.0234,-0.8211,-4.0817,-6.4774,4.4250,-0.1465,-0.5859,0.0000
6.267313,-75.567963,-0.1783,-0.0574,-1.2559,14.4730,-7.6370,-18.1274,-0.1465,-0.5859,0.0000
6.267278,-75.567978,-0.0174,0.0454,-0.7767,5.0964,-16.3116,-0.9918,-0.1465,-0.5859,0.0000
6.267249,-75.567993,0.0871,0.0759,-0.8536,-4.6539,-4.1809,-28.3432,-0.1465,-0.5859,0.0000
6.267217,-75.567993,-0.0604,0.0671,-1.1885,5.3024,6.0806,10.0937,-0.1465,-0.5859,0.0000
6.267181,-75.567993,0.0358,0.1707,-0.9385,4.3030,-21.5836,14.6790,-0.1465,-0.5859,0.0000
6.267152,-75.567993,-0.1390,0.1729,-1.0076,-3.3340,-11.5433,-36.2320,-0.1465,-0.5859,0.0000
6.267128,-75.568001,0.0544,0.0635,-0.8052,-5.8060,-13.2294,-5.4245,-0.1465,-0.5859,0.0000
6.267100,-75.568001,0.1303,0.1675,-1.0279,-3.2196,-2.8076,-9.3002,-0.1465,-0.5859,0.0000
6.267068,-75.568008,0.0346,0.1313,-1.2083,5.3101,27.5879,12.1307,-0.1465,-0.5859,0.0000
6.267033,-75.568016,-0.0074,0.0430,-0.9876,0.1984,-34.4391,-14.4348,-0.1465,-0.5859,0.0000
